Year,Department Title,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Payments Over Base Pay,Total Payments,Base Pay,Permanent Bonus Pay,Longevity Bonus Pay,Temporary Bonus Pay,Lump Sum Pay,Overtime Pay,Other Pay & Adjustments,Other Pay (Payroll Explorer),MOU Title,Job Class,Average Health Cost,Average Dental Cost,Average Basic Life,Average Benefit Cost,Benefits Plan,Job Class Link
2015,Public Works - Engineering,Structural Engineering Associate I,Full Time,$34.66,"$72,370.08",$0.00,"$68,579.20","$68,579.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$13,462.80","$20,758.80","$7,296.00",$0.00,$0.00,$330.00,"$13,132.80",$0.00,$0.00,"$13,462.80",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$16,013.55","$121,656.75","$105,643.20",$0.00,$0.00,"$2,743.00",$0.00,"$12,570.55",$700.00,"$3,443.00",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$77,099.31","$182,742.51","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$77,099.31",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$14,619.50","$109,444.70","$94,825.20",$0.00,$0.00,$0.00,$0.00,"$12,654.00","$1,965.50","$1,965.50",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$65,196.47","$170,839.67","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$63,347.87","$1,848.60","$1,848.60",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Senior Structural Engineer,Full Time,$68.61,"$143,257.68","$3,293.28","$146,002.08","$142,708.80",$0.00,$0.00,$0.00,"$3,293.28",$0.00,$0.00,"$3,293.28",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Water And Power (DWP),Structural Engineering Associate,Full Time,$57.75,"$120,582.00","$14,495.77","$128,271.81","$113,776.04","$6,510.89",$0.00,$0.00,,"$2,994.88","$4,990.00","$11,500.89",PROFESSIONAL UNIT,7957,"$17,486.94","$1,268.69",$0.00,"$18,755.63",DWP,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Sanitation,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$45,330.12","$150,973.32","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$45,330.12",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$38,416.89","$129,408.89","$90,992.00",$0.00,$0.00,"$2,860.00",$0.00,"$35,381.89",$175.00,"$3,035.00",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$17,773.55","$108,765.55","$90,992.00",$0.00,$0.00,"$2,860.00",$0.00,"$13,248.84","$1,664.71","$4,524.71",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineer,Full Time,$58.40,"$121,939.20",$0.00,"$121,472.00","$121,472.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$56,464.20","$146,242.85","$89,778.65",$0.00,$0.00,$0.00,$0.00,"$56,464.20",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$36.59,"$76,399.92","$2,981.85","$79,088.91","$76,107.06","-$3,139.37",$0.00,$0.00,$0.00,"$6,121.22",$0.00,"-$3,139.37",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Water And Power (DWP),Structural Engineering Associate,Full Time,$57.75,"$120,582.00","$28,363.69","$121,981.85","$93,618.16","$5,480.84",$0.00,$0.00,,$0.00,"$22,882.85","$28,363.69",PROFESSIONAL UNIT,7957,"$17,486.94","$1,268.69",$0.00,"$18,755.63",DWP,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$12,377.65","$94,403.50","$82,025.85",$0.00,$0.00,"$2,215.50",$0.00,"$7,542.32","$2,619.83","$4,835.33",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$56,288.09","$161,931.29","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$56,288.09",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineer,Full Time,$58.40,"$121,939.20","$6,112.55","$15,456.55","$9,344.00",$0.00,$0.00,$0.00,"$6,112.55",$0.00,$0.00,"$6,112.55",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Harbor (Port of LA),Structural Engineering Associate III,Full Time,$50.79,"$106,049.52",$0.00,"$105,643.20","$105,643.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$77,556.40","$183,199.60","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$77,556.40",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Senior Structural Engineer,Full Time,$68.61,"$143,257.68","$2,572.88","$145,281.68","$142,708.80",$0.00,$0.00,$0.00,"$2,572.88",$0.00,$0.00,"$2,572.88",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$33,379.20","$127,862.40","$94,483.20",$0.00,$0.00,$0.00,$0.00,"$33,379.20",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$9,781.20","$104,629.20","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$9,781.20",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineer,Full Time,$58.40,"$121,939.20","$2,628.00","$124,100.00","$121,472.00",$0.00,$0.00,$0.00,"$2,628.00",$0.00,$0.00,"$2,628.00",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$37.42,"$78,123.83",-$676.60,"$12,373.00","$13,049.60","-$1,076.60",$0.00,$400.00,$0.00,$0.00,$0.00,-$676.60,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$30.12,"$62,893.69",$268.28,"$10,773.88","$10,505.60",-$866.72,$0.00,$0.00,$0.00,$0.00,"$1,135.00",$268.28,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Street Lighting,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$1,641.60","$96,489.60","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$1,641.60",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Water And Power (DWP),Structural Engineering Associate,Full Time,$62.64,"$130,792.32","$24,604.19","$148,010.60","$123,406.41","$7,495.32",$0.00,$0.00,,"$10,946.55","$6,162.32","$13,657.64",PROFESSIONAL UNIT,7957,"$17,486.94","$1,268.69",$0.00,"$18,755.63",DWP,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Senior Structural Engineer,Full Time,$68.61,"$143,257.68","$3,868.42","$146,577.22","$142,708.80",$0.00,$0.00,$0.00,"$3,087.45",$0.00,$780.97,"$3,868.42",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Public Works - Engineering,Structural Engineer,Full Time,$58.40,"$121,939.20",$0.00,"$121,472.00","$121,472.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Public Works - Engineering,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80",$150.00,"$94,998.00","$94,848.00",$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$150.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$18,194.40","$113,042.40","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$18,194.40",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineer,Full Time,$58.40,"$121,939.20",$0.00,"$121,472.00","$121,472.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,7956,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7956.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$33.57,"$70,097.03",-$938.79,"$10,440.70","$11,379.49",-$938.79,$0.00,$0.00,$0.00,$0.00,$0.00,-$938.79,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$31,844.37","$137,487.57","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$28,493.23","$3,351.14","$3,351.14",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$36.59,"$76,399.92","$5,784.45","$81,855.06","$76,070.61","-$3,139.37",$0.00,$0.00,$0.00,"$8,923.82",$0.00,"-$3,139.37",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$35.44,"$74,004.98",-$619.84,"$11,741.76","$12,361.60","-$1,019.84",$0.00,$400.00,$0.00,$0.00,$0.00,-$619.84,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineer Associate Project Manager I,Full Time,$60.08,"$125,447.04",$60.08,"$125,026.48","$124,966.40",$0.00,$0.00,$0.00,$0.00,$60.08,$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Street Lighting,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$9,302.40","$104,150.40","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$9,302.40",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Senior Structural Engineer,Full Time,$68.61,"$143,257.68",$250.00,"$142,958.80","$142,708.80",$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$250.00,SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$35.44,"$74,004.98",-$619.84,"$11,741.76","$12,361.60","-$1,019.84",$0.00,$400.00,$0.00,$0.00,$0.00,-$619.84,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Recreation And Parks,Structural Engineering Associate IV,Full Time,$55.21,"$115,278.48","$3,139.66","$117,976.46","$114,836.80",$0.00,$0.00,$0.00,"$2,539.66",$0.00,$600.00,"$3,139.66",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$38.63,"$80,659.44","$16,351.03","$96,664.25","$80,313.22","-$3,311.40",$0.00,"$2,500.00",$0.00,"$17,012.43",$150.00,-$661.40,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52",$990.41,"$106,633.61","$105,643.20",$0.00,$0.00,$0.00,$990.41,$0.00,$0.00,$990.41,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$62,928.84","$168,572.04","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$62,928.84",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate IV,Full Time,$55.21,"$115,278.48","$83,726.02","$198,562.82","$114,836.80",$0.00,$0.00,$0.00,"$1,987.56","$81,738.46",$0.00,"$1,987.56",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Senior Structural Engineer,Full Time,$68.61,"$143,257.68","$3,513.28","$146,222.08","$142,708.80",$0.00,$0.00,$0.00,"$3,293.28",$0.00,$220.00,"$3,513.28",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$63,156.00","$158,004.00","$94,848.00",$0.00,$0.00,$0.00,$0.00,"$62,757.00",$399.00,$399.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$36.59,"$76,399.92","$9,760.07","$85,153.76","$75,393.69","-$3,128.80",$0.00,$0.00,$0.00,"$12,888.87",$0.00,"-$3,128.80",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$32.83,"$68,549.04","$5,789.09","$73,780.02","$67,990.93","-$2,816.84",$0.00,$0.00,$0.00,"$8,575.93",$30.00,"-$2,786.84",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$2,378.44","$108,021.64","$105,643.20",$0.00,$0.00,$0.00,$0.00,"$1,828.44",$550.00,$550.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$39.82,"$83,144.16","$25,569.32","$104,252.53","$78,683.21",$777.30,$0.00,$0.00,$0.00,"$24,792.02",$0.00,$777.30,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$45.60,"$95,212.80","$50,376.60","$144,791.40","$94,414.80",$0.00,$0.00,$0.00,$0.00,"$50,376.60",$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Senior Structural Engineer,Full Time,$68.61,"$143,257.68","$2,332.74","$145,041.54","$142,708.80",$0.00,$0.00,$0.00,"$2,332.74",$0.00,$0.00,"$2,332.74",SUPERVISORY PROF. ENGINEERING & SCIENTIFIC,9425,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/9425.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$38.75,"$80,910.00","$15,246.89","$52,446.89","$37,200.00",$0.00,$0.00,"$1,210.00","$1,995.62","$11,741.27",$300.00,"$3,505.62",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Airports (LAWA),Structural Engineering Associate IV,Full Time,$55.21,"$115,278.48","$3,148.59","$116,924.59","$113,776.00",$0.00,$0.00,$0.00,$0.00,"$3,123.59",$25.00,$25.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$32.83,"$68,549.04","$3,847.69","$72,134.09","$68,286.40","-$2,816.84",$0.00,$0.00,$0.00,"$6,664.53",$0.00,"-$2,816.84",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52","$3,587.50","$109,230.70","$105,643.20",$0.00,$0.00,"$2,637.50",$0.00,$0.00,$950.00,"$3,587.50",PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Water And Power (DWP),Structural Engineering Associate,Full Time,$51.81,"$108,179.28","$14,837.47","$107,278.64","$92,441.17","$5,157.67",$0.00,$0.00,,$123.90,"$9,555.90","$14,713.57",PROFESSIONAL UNIT,7957,"$17,486.94","$1,268.69",$0.00,"$18,755.63",DWP,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate II,Full Time,$36.70,"$76,629.60","$20,875.44","$95,036.82","$74,161.38",$0.00,$0.00,$0.00,$0.00,"$20,556.31",$319.13,$319.13,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Building and Safety,Structural Engineering Associate I,Full Time,$35.44,"$74,004.98",-$569.84,"$11,791.76","$12,361.60","-$1,019.84",$0.00,$400.00,$0.00,$0.00,$50.00,-$569.84,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
2015,Public Works - Engineering,Structural Engineering Associate III,Full Time,$50.79,"$106,049.52",$0.00,"$105,452.75","$105,452.75",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,PROFESSIONAL ENGINEERING & SCIENTIFIC,7957,"$11,012.40",$411.36,$11.40,"$11,435.16",City,http://per.lacity.org/perspecs/7957.pdf
